video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
afL8tYlnrj4,MrBeast,What Is Yanet Actually Thinking?????,"['Mr.Beast', 'mr', 'beast', 'yanet', 'garcia', 'no', 'what', 'is', 'she', 'thinking', 'actually']",2015-08-17 01:24:47+00:00,150201.0,2917.0,,226.0,PT3M9S,hd,False,Monday,189.0,0
uZPkMnv8b-o,MrBeast,Modern Art Is A Joke,"['Mr.Beast', 'mr', 'beast', 'moder', 'art', 'is', 'joke']",2015-08-15 10:00:01+00:00,55791.0,1829.0,,163.0,PT2M56S,hd,False,Saturday,176.0,0
qVLr6SMxvJw,MrBeast,5 Steps To Becoming Successful On Youtube!,"['Mr.Beast', 'mr', 'beast', 'five', 'steps', 'to', 'being', 'successful', 'on', 'youtube']",2015-08-14 10:00:03+00:00,70975.0,3042.0,,372.0,PT3M13S,hd,False,Friday,193.0,0
4AigP5OY8JE,MrBeast,Time,"['Mr.Beast', 'mr', 'beast', 'time']",2015-08-13 10:00:00+00:00,75613.0,1933.0,,292.0,PT2M21S,hd,False,Thursday,141.0,0
RMoFUeBVefA,MrBeast,Beast $500ish Youtube PC Great For Making Videos!,"['Mr.Beast', 'mr', 'beast', '500', 'youtube', 'pc', 'video']",2015-08-12 10:00:00+00:00,71512.0,1413.0,,189.0,PT4M4S,hd,False,Wednesday,244.0,0
ep7S1XnuQLU,MrBeast,"5,000 Hype","['Mr.Beast', 'mr', 'beast']",2015-08-11 10:00:00+00:00,133809.0,3138.0,,550.0,PT3M5S,hd,False,Tuesday,185.0,0
p6bzNpgbX8Y,MrBeast,What Is Crohns Disease?????,"['Mr.Beast', 'mr', 'beast', 'what', 'is', 'crohns', 'youtube']",2015-08-10 10:00:01+00:00,243198.0,6677.0,,590.0,PT4M21S,hd,False,Monday,261.0,0
6T17licWsQ4,MrBeast,Leaving For 7 Days,"['Mr.Beast', 'mr', 'beast']",2015-08-09 14:26:58+00:00,48512.0,1311.0,,200.0,PT7M11S,hd,False,Sunday,431.0,0
1s6UOlWdpw4,MrBeast,Motivation For Youtube - Ultimate Small Youtuber Motivation #2,"['Mr.Beast', 'mr', 'beast', 'ultimate', 'youtube', 'motivation', 'for', 'small', 'youtubers']",2015-08-08 22:15:43+00:00,159332.0,6331.0,,690.0,PT3M29S,hd,False,Saturday,209.0,0
3LuchpUc7PU,MrBeast,Should I Buy An Elgato Game Capture??,"['Mr.Beast', 'mr', 'beast', 'should', 'buy', 'an', 'elgato']",2015-08-07 10:00:00+00:00,46775.0,1721.0,,449.0,PT2M57S,hd,False,Friday,177.0,0
_f6xCA0-gAo,MrBeast,Fanboy Opinions On Black Ops 3,"['Mr.Beast', 'mr', 'beast', 'fanboy', 'opinion', 'on', 'black', 'ops', 'three', 'black ops 3', 'fanboy opinions']",2015-08-06 00:58:47+00:00,46348.0,1193.0,,281.0,PT3M56S,hd,False,Thursday,236.0,0
lfD7kMZKuNg,MrBeast,Big Channel's Starting Over???,"['Mr.Beast', 'mr', 'beast', 'big', ""channel's"", 'that', 'started', 'over']",2015-08-05 10:00:02+00:00,47649.0,1355.0,,278.0,PT3M19S,hd,False,Wednesday,199.0,0
ejlkNGm82w4,MrBeast,SAT And Some Random Stuff,"['Mr.Beast', 'mr', 'beast', 'sat', 'prep', 'and', 'randome', 'thing', 'things', 'random']",2015-08-04 22:14:13+00:00,46313.0,1416.0,,589.0,PT3M26S,hd,False,Tuesday,206.0,0
Jtj9rUqlB1Y,MrBeast,How Many Youtubers Are Millionaires???,"['Mr.Beast', 'mr', 'beast', 'how', 'many', 'youtubers', 'are', 'millionares']",2015-08-04 00:18:58+00:00,100693.0,1769.0,,253.0,PT2M49S,hd,False,Tuesday,169.0,0
ZqzFRGH_tMQ,MrBeast,Always Changing My Name? Mr.Beast or MrBeast6000,"['Mr.Beast', 'mr', 'beast']",2015-08-03 10:00:03+00:00,166028.0,4142.0,,541.0,PT2M41S,hd,False,Monday,161.0,0
94A-bsumX9A,MrBeast,How Much Youtube Money Do I Make???,"['Mr.Beast', 'mr', 'beast', 'how', 'much', 'money', 'do', 'make', 'off', 'of youtube', 'of']",2015-08-03 02:19:22+00:00,394349.0,9574.0,,634.0,PT2M28S,hd,False,Monday,148.0,0
gYaxI_allkQ,MrBeast,Am I Ian From Smosh????,"['Mr.Beast', 'mr', 'beast']",2015-08-02 19:09:03+00:00,813176.0,11403.0,,568.0,PT2M18S,hd,False,Sunday,138.0,0
AjXbO2XfBkE,MrBeast,How Do You Turn Off A PS4? Xbox Noob In Need Of Help,"['Mr.Beast', 'mr', 'beast', 'how', 'do', 'you', 'turn', 'off', 'the', 'ps4', 'play', 'station', 'four']",2015-08-01 21:51:25+00:00,84863.0,1851.0,,303.0,PT1M12S,hd,False,Saturday,72.0,0
ZQZzR0DUujc,MrBeast,"New Optic Gaming Gear Coming To Advanced Warfare, My Thoughts","['Mr.Beast', 'mr', 'beast', 'new', 'optic', 'gaming', 'gear', 'coming', 'to', 'advanced', 'warfare', 'ny', 'my', 'thoughts']",2015-08-01 16:47:55+00:00,46967.0,1539.0,,437.0,PT2M31S,hd,False,Saturday,151.0,0
-V3-fhJQZkk,MrBeast,Youtube Collabs? Collabbing with Mr.Beast?,"['Mr.Beast', 'mr', 'beast', 'collabbing', 'on', 'youtube', 'mr.beast']",2015-08-01 10:00:01+00:00,90427.0,1937.0,,216.0,PT3M33S,hd,False,Saturday,213.0,0
QX0wvWGW2qg,MrBeast,Sacrifices And Youtube,"['Mr.Beast', 'mr', 'beast', 'sacrifices', 'and', 'youtube']",2015-07-31 18:03:32+00:00,46622.0,2289.0,,533.0,PT3M39S,hd,False,Friday,219.0,0
oODUkNQAzXU,MrBeast,5$ To Advertise Your Youtube Channel???,"['Mr.Beast', 'mr', 'beast', 'two', 'hot', 'chick', 'chicks', 'advertise', 'your', 'channek', 'youtube', 'channel']",2015-07-31 00:13:08+00:00,141278.0,2771.0,,275.0,PT2M1S,hd,False,Friday,121.0,0
2jWZtKTN6jU,MrBeast,Reuploading Other Youtubers Videos? Stealing Big Youtubers Videos.,"['Mr.Beast', 'mr', 'beast', 'stealing', 'big', 'youtubers', 'videos', 'pewdipie']",2015-07-30 18:23:18+00:00,46477.0,1262.0,,210.0,PT4M14S,hd,False,Thursday,254.0,0
zsADECFHY8w,MrBeast,4k Subscriber's! First Channel Story!,"['Mr.Beast', 'mr', 'beast', 'thanks', 'for', '4k', 'subscribers', 'and', 'here', 'is', 'story']",2015-07-30 01:56:38+00:00,90683.0,2825.0,,435.0,PT5M14S,hd,False,Thursday,314.0,0
Feh8o-HmthM,MrBeast,People Who Got Rich From Movie Trailers On Youtube,"['Mr.Beast', 'mr', 'beast', 'people', 'who', 'got', 'super', 'famous', 'rich', 'from', 'movie', 'trailers', 'on', 'youtube']",2015-07-29 19:00:00+00:00,84671.0,1476.0,,239.0,PT3M26S,hd,False,Wednesday,206.0,0
